artist_id,artist_name
4YlNFCrxoTfxFtZwPoGjLW,Torus
5JjgffJf4s4KF29xdEaAQd,Maria Somerville
3gfV2LBMvIE9gjpvowt11B,Malibu
6TQj5BFPooTa08A7pk8AQ1,Kaskade
2CIMQHirSU0MQqyYHq0eOx,deadmau5
4hHV6XSI9ZV5Zl9ttlVIqe,Joslyn
5GxyeQagayzZOg4UwffQlD,Chicane
0jHgg7rmAGl9qLcHHId2Cq,Air France
4j24CFa4A1jAMKNHrwXV0f,Korallreven
0HWfFWL4vVrbaBQqxVCwCi,Julianna Barwick
6fFcUOFcbjeIuEomuUthkw,Oklou
2a4fzfmDaQvYBhBR5hp2jj,a.s.o.
2AQ0EB0amswkk6jw45wd6O,Alias Error
6Uj8Oy04i9TYNLv7BtMlBg,Lew E
7bQLFALIEawxhkyFiiLVhM,Doss
1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers
1nIJEqPyIj5qutlgWNmQB0,Erika de Casier
2iXdwLTWyFhlN1MQWIymvM,araabMUZIK
2IkHcHKErbWa0TA14yHkbl,Dirty Vegas
5Hxx7FpVvps2OZLl6LUfJi,Ghost Mountain
1PJjW9Z03G2R0q6GM6QgFc,Eliana Glass
33AVv5yXn7muCLbo0R378f,Eurohead
1URVdcNYXigvk6Dj0fHYOM,skaiwater
2BMq835Yir366yDKvW3Rcv,BoofPaxkMooky
0vpFNyHReL2ASeI97LlvAK,1600j
4uqHgaeBynLBQgfhMEIm1G,PLUTO
2J257euzcjnDLipsyJH3F2,Clipse
5NDMothbpdpq2xHqSjrrWn,Faith Evans
6wnMFZFfsoJCOH4lVl5hGr,YL
4h4ObUIJAlK0DodbX1YurV,Subjxct 5
3crnzLy8R4lVwaigKEOz7V,E-40
16aHGTBi9sStOLH8OPIqlw,Sauce Money
3ScY9CQxNLQei8Umvpx5g6,Fat Joe
4RmueWJt4rKOlM8O2AeYsv,San Quinn
5QoPmqq8UfE0zsTWkM3CQD,Messy Marv
03546gvcoicKs6C10YdXvk,Anysia Kym
536qHynzDH1QviwhWY9dE3,Loraine James
758sHPdw5FpB5ZM8f5MpXe,Maxo
08yYd8o1CrOjIpGHP2I6zU,Huan62
31xNxPD0tnYKr7Krg8dyPB,BunnaB
1W9qOBYRTfP7HcizWN43G1,Slick Rick
0L5BtJ0tpOgMcQO94P26Tp,Lil Kayla
0zi2OowIfzNqUQiuUVyGLs,Main Source
5QdEbQJ3ylBnc3gsIASAT5,G Herbo
2tH2e9dYfRSD6pjLbcieGQ,HOODLUM
1DiJjuhTvVRHLYcnp3zQDi,Black Trump
6MrdwyCIKbpXmTKQBlG3uq,Z-Ro
0SbFHrkqd2aTNDj6iX6ZC4,Ronnie Spencer
4pcO26UthOYUAks5XLNKmq,Southern Kartel
6VIHyGtEOoGjuvVougyqzL,Big H.A.W.K
0U2pfgfvpodnigJVeozxRj,Kendra Thompson
0OMJR0LjjKv21qNvICTgbi,Devin The Dude
49rH1OsO47Bo2UibC6Se4Q,Botany Boyz
1J6iGa2TNBDCrJzjsnI1a8,Big Pokey
5xu3KF4ZTFjNncNRIVaJnt,Mr. 3-2
1grI9x4Uzos1Asx8JmRW6T,Lil' Keke
4Yj490bi1KL0QpDnVOtHyr,Big Moe
4Q5sPmM8j4SpMqL4UA1DtS,Lil' Flip
1Z3HvW1V35gdsbhY20SMoU,The Jacka
74aMbFWmUsvRDYTLJqvNY4,Baby Mel
3D85leWRhYigMOKA3EAsk7,504icygrl
7a8ZndeHGrkS7xIM8060Xw,Babyfxce E
4bAfAX9Zg9XdMKREfURqaw,Mello Buckzz
1b9SeAw3fn9wYT6NxP68H7,Mel V
7uMv9SFI4KLvFZNEJBuaQ7,ABGR Lil Cory
7FjgkFMkxGiIJ3RkjUBOW4,Action Pack
1ieEINr8JEvF4boxmagQ0E,EllaOnDaMic
14Ah9L7Sei8VOOty0tZrOR,Protect
4NVdbDAqaEmQE1b8Hdzv87,Dav1d
7Epz3IWjc9DlVUWUAWO6cc,Chase Alex
20V5Q17099P2NNExkMStg7,Samuel Shabazz
7kFfY4UjNdNyaeUgLIEbIF,DeJ Loaf
4ASySvRSpoR2o2OEIwLsgz,4TheWinn
6kzUBhaodMw2fjBkfYJQyq,Ymc Ant
5TKtPmUsAalKcGatAZ43Mw,DanLeveledUp
5iFlBbFvl6rLiyQ0PB4U52,YMC Backz
7bYrSokOzrKQjswYHevxMy,Pretty V
3zZ88AwlTwfCJkowsFCvLA,Babyface Ray
420h4ODjbzkMDCuedOlnC9,Gelatoo
699OTQXzgjhIYAHMy9RyPD,Playboi Carti
2GJa7lPCjAB1rKXptXrfy8,feeble little horse
1B8ycQsEGw3fUTkzWs5kFD,EQ
4bmyQalHgw8xZFJ116P3ir,Estratosfera
4I9SixgrOaKltrQkY8o43u,Qiri
6chuFWw4BmHxOc3X0cC8Ct,Klein
278vNvolx8H3sQJ2hgOMnh,Feng
6tbjWDEIzxoDsBA1FuhfPW,Madonna
6YIiMThynFkSRr8SCs2ZW8,Micachu & The Shapes
0qc4BFxcwRFZfevTck4fOi,fakemink
