playlist_name,playlist_id,followers
Reality Blues,6Dvswcfd8HqYiqXacr8mhd,834
Off the Dome,50CczS1m8bLynEzKLJun7S,555
Rabbit Holed,0O6gmeQth1nHtQWNohFgyx,748
 The 27 Best Rap Albums of 2024,4g1CoiMtdx2DjsAZQkg19n,450
The Best Electronic Music of 2024,4Yx88eP7gEYAaYnER27OWg,1239
The 30 Best Rock Albums of 2024,24hqdtFblFiRwfhPmv6O4d,874
The 50 Best Albums of 2024,4mKwPBWW6A6vvAxcwvGXVS,2223
The 100 Best Songs of 2024,7IvWl09tJogd7liYvXWQIR,4147
It’s Time for Electronic Music to Turn Its Dreams Into Reality,5J1PJJpkIe9PLH2qextKbz,532
The Sounds of the New Asian Underground,20Wzo4FYnSIZ8irokGlW2a,443
A Deeply Incomplete Canon of Hyperpop-Digicore,6X95SoDVzG8qg9FP0YlXzZ,419
The 100 Best Albums of the 2020s So Far,6iHJPzZ9gd0y85ER5Jxy6v,636
The 100 Best Songs of the 2020s So Far,46gmzCEB404kUcMeRIU9P6,6153
Pitchfork Festival Pride,0C31UbJvC6BmudQ1LZvMih,201
Temazos y Palos,7I46lSovF44CjNe4bQOPKN,251
Pitchfork Music Festival 2024,4BIYTsJ4nDunOKVCkNEUmR,1698
Pitchfork Music Festival CDMX 2024,1mp9eU0fOyzTzAvJru3o1L,372
The 30 Best Jazz and Experimental Albums of 2023,3Jda1jWMsPpcL9jOYxazW5,1254
The Best Music by Latine & Spanish Artists in 2023,2SN0CmmPCsdYm77ho8wksR,418
The Best Pop Music of 2023,0jMg4W9CzORQszMRCtyHQB,767
The 42 Best Rap Songs of 2023,4DhNg3nwSPEUDVysfqNKZ5,848
The Best Electronic Music of 2023,7gOmGn1pSNSgkMf5IHe6mq,1837
The 37 Best Rock Albums of 2023,2otdlmvrPKnDm9iIrAEbxN,1113
The 50 Best Albums of 2023,5tPdLKJuwhRLtExpLRCkCt,2885
 The 100 Best Songs of 2023,0K26WZHcw1dh0WurgDFlKi,6123
Pitchfork Music Festival Berlin 2023,5lvnfBzwCs2ijRh2zeFMpZ,251
Pitchfork Music Festival London 2023,2oiLYPc1XI78jqqZJ8jnaM,184
Pitchfork Music Festival Paris 2023,0g6R1TIc2gFdpV5sTxFTiN,334
Pitchfork Music Festival 2023,6dxTqbF4BFWQu6t5Bh1kIM,1527
The Best Progressive Pop Music of 2022,1Gmb5DVgTjLF24uGI4AlsW,972
The 43 Best Rap Songs of 2022,1ulkCM5mgO4CZHlioyBEwr,1132
The Best Electronic Music of 2022,2NdKL3I0JFM8kLypNx7ASy,2035
The 38 Best Rock Albums of 2022,28Dwli1PfPgr0alCDyaLpl,1095
The 50 Best Albums of 2022,3e48krWWEdyCQDWSiCtoiW,2324
The 100 Best Songs of 2022,3oGW9CrTSQON9BpSBEqU4m,7270
The 30 Best Southern Rap Songs of the 1990s,4XZBGihYhkEQaI1kZTYcmX,585
Pitchfork's Best New Music,7q503YgioHAbo1iOIa67M8,173697
Pitchfork Selects,7f9o34JAe8ZSRq4GX7f0Ol,62825
The Best R&B Songs of the 1990s,1yY9pguhfU0r19yz9kx2wD,2210
The 150 Best Albums of the 1990s,7G6Ly5URbGyJNWeEkxdhYs,2510
The 250 Best Songs of the 1990s,3Wz6gSlxvSLqby6D38tgYA,5385
The 25 Best Indie Pop Albums of the 1990s,5fqSx3WTA8shEAF7ExBxmp,3013
The 25 Best Grunge Albums of the 1990s,3BVvzy5vQASpRb5IA0SQhQ,618
Latin American Ambient Music,4PgluB4mkzCVxbjUd9HL6V,993
Pitchfork Music Festival Paris 2022,5v0LN2TxfHrNMami7fXd1r,419
Pitchfork Music Festival 2022,311izhxSQpowJftbZDXCS5,1764
Rising Week 2022,6UeJLKM985UHiqLa817ZuL,906
The Best Underrated Albums of 2021,6cYPNCUQ1mwKGqJGRDRu42,901
Best Electronic Music of 2021,3y3v42dtshZ6NDg7cIooS7,1645
" Ambient Jazz’s Quiet, Forceful Return",0cSHsgFHI7EbiFxZTOiE3T,3233
The 31 Best Rock Albums of 2021,52H0D2UFfD6mfsN5n0orW1,1001
The 50 Best Albums of 2021,50K4m8wOPBuQVTjSy0iKPP,3293
The 100 Best Songs of 2021,0aAZEW9s8WDln6dN6432wc,8632
Pitchfork’s 25 Next List: The Artists Shaping Where Music Will Go From Here,2OwVOHBiAPflrRhWspiuwX,1169
Pitchfork Music Festival Paris 2021,5PfMQF499KS8SIhvroQmwX,346
Pitchfork Music Festival 2021,7bWZEk1YXf0OaLK2qyPou9,2414
What Can Music Do During Climate Collapse?,1U2EenZnfMjYfJvdm4Yiaz,435
The Ones,5bR86Q2oidpjJxcJQGhxRY,7100
The 22 Best Songs by Latinx Artists in 2020,23i3MESPHda4q2M5tNdndp,473
The 35 Best Rock Albums of 2020,3iqgYlpLo6a2EKdFY6rlm1,1766
The 36 Best Rap Songs of 2020,4PPNpzPLj7MU4TruRfQkpf,945
The 30 Best Electronic Music Releases of 2020,1rye7RViY7gsrL7bldEEsd,1627
The 50 Best Albums of 2020,4Qs1GyN5pcPu904PZYo4Za,3090
The 100 Best Songs of 2020,1cS7V57tB0S8Cum2WFuFh0,8457
The Pitchfork Review: Music From the Podcast,1NaR9C8JatBvAtlBW5QLhy,1290
Recommended If You Like: Haim’s Women in Music Pt. III,2n8tjNSkwn5pc2uWk5bXn0,1471
The Best Lil Uzi Vert Songs,6UoaF97XsrZozNKmucRtA5,315
The Songs That Define Stevie Nicks as an Icon,1Tpv0v2pHBxsGkHiXFG39S,1813
Recommended If You Like Dua Lipa's Future Nostalgia,0Vgapa7eNMO1KyIJ7tR0L3,2624
An Introduction to Urbano,3c0QkTZma3snikRs52huOh,971
Pitchfork Music Festival 2020,4fctBnU0Ap55fjE7GwggAH,983
Recommended If You Like Tame Impala’s The Slow Rush ,4T8OLYOqmcTZwEdopfv5Q6,8516
Pitchfork Music Festival Berlin 2020,4WESh7cdy0cTpgxTK0K8SR,513
The Best Metal Albums of 2019,6qG5NRTOOMcuNPfW6TbhYD,767
The Best Electronic Music of 2019,4IaOMDw8XNznRvWnXJxsND,2637
The 100 Best Songs of 2019,2l4KenNzO1dtH0byCIBecS,10126
The 50 Best Albums of 2019,2UbyfHBw7ZqOYqTmZQyQom,2547
The Best Rock Albums of 2019,3yD4zwzT1iccM1mRwUJnaW,986
The Best Rap Albums of 2019,0bdkvLU5LcEw7neDNxj4Yr,844
The Rise of Conceptronica,75vQSqJAvJJZeQVJp81rfx,1603
The 200 Best Albums of the 2010s,0NdonfZ87AajuaMPaOwXp9,8650
The 200 Best Songs of the 2010s,2ua9P1PJZ8vNU1ZOZq6tqe,22161
Pitchfork Music Festival Paris 2019,3CC8JzodCvq8GaVbjN9huA,353
Obama Summer Playlist 2019,7GHGzYVKAxAa6QwXEYxK0m,2756
Best Detroit Rap of 2019,03p4bG0vAjiBvLWNI577Yq,544
The Story of Joni Mitchell in 33 Songs,279HNgRIMJRrhBbOu48TNw,2017
Pitchfork Music Festival 2019,0PbxwCP0N10IeCl7I1O9E5,1260
Great Records You May Have Missed: Winter 2019,5mDEEZo9cadqhyzo6QUIqd,1391
The 50 Best Albums of 2018,2eTbM2xFCXTkeO18jNSIOY,6387
The 50 Best Albums of 2017,0B9eMO227fkK6PIKgugEZW,4797
The 200 Best Albums of the 1960s,11S9QoBUbATlKQuFSExhkZ,10733
The 200 Best Songs of the 1970s,13bCGLp2nXAXj3IRLjfPEr,21076
The 200 Best Albums of the 1980s,25mALbhXBaQDUls6IptjAJ,7628
The 200 Best Songs of the 1980s,7MysdOoh9OrZ8L8xylt2iR,13573
The 200 Best Songs of the 1990s,0bgEcLQwcvriOtFgbp0BNp,14809
The 500 Best Songs of the 2000s,1YHCI9W14fhev4Mlba4JOc,30477
